flag,gemini-3-pro-preview-maxthinking-gcli.csv,glm-4.6.csv,gemini-2.5-pro-maxthinking-gcli.csv,kimi-k2-thinking.csv,doubao.csv,qwen3-max.csv,deepseek-reasoner.csv,voted_category,confidence
turbo-filter,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-inline-array-builtins,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-inline-js-wasm-calls,Turbofan,Wasm,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,0.71
turbo-inlining,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-instruction-scheduling,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-jt,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-load-elimination,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-log-builtins-count-input,Turbofan,Compiler/Tier Manager,,Turbofan,Data,Print,Generic,Turbofan,0.17
turbo-loop-peeling,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-loop-rotation,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-loop-variable,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-move-optimization,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-optimize-apply,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-optimize-inlined-js-wasm-wrappers,Turbofan,Wasm,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,0.71
turbo-optimize-math-minmax,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-profiling,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-profiling-input,Turbofan,Compiler/Tier Manager,,Turbofan,Data,Print,Generic,Turbofan,0.17
turbo-profiling-output,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Print,Turbofan,Turbofan,0.71
turbo-profiling-verbose,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-rewrite-far-jumps,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-splitting,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-stats,Turbofan,Turbofan,Print,Turbofan,Print,Turbofan,Turbofan,Turbofan,0.43
turbo-stats-nvp,Turbofan,Turbofan,Print,Turbofan,Print,Turbofan,Turbofan,Turbofan,0.43
turbo-stats-wasm,Turbofan,Turbofan,Wasm,Turbofan,Print,Wasm,Turbofan,Turbofan,0.29
turbo-store-elimination,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-stress-instruction-scheduling,Turbofan,Testing/Fuzzing,Testing/Fuzzing,Turbofan,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,0.43
turbo-string-builder,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-typer-hardening,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-verify,Turbofan,Turbofan,Turbofan,Turbofan,Testing/Fuzzing,Turbofan,Turbofan,Turbofan,0.71
turbo-verify-allocation,Turbofan,Turbofan,Turbofan,Turbofan,Testing/Fuzzing,Turbofan,Turbofan,Turbofan,0.71
turbo-verify-machine-graph,Turbofan,Turbofan,Turbofan,Turbofan,Testing/Fuzzing,Turbofan,Turbofan,Turbofan,0.71
turbo-wasm-address-reassociation,Turbofan,Wasm,Wasm,Turbofan,Turbofan,Turbofan,Wasm,Turbofan,0.14
turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbofan-inline-date-accessors,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,1.00
turbolev-additive-safe-int-feedback,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,1.00
turbolev-future,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,1.00
turbolev-inline-js-wasm-wrappers,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,1.00
turbolev-non-eager-inlining,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,,Turbolev,Turbolev,1.00
turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,1.00
turboshaft-assert-types,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Testing/Fuzzing,Testing/Fuzzing,Turboshaft,Turboshaft,0.43
turboshaft-enable-debug-features,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,1.00
turboshaft-load-elimination,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,1.00
turboshaft-loop-unrolling,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,1.00
turboshaft-opt-bisect-break,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Testing/Fuzzing,Turboshaft,Turboshaft,Turboshaft,0.71
turboshaft-opt-bisect-limit,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Testing/Fuzzing,Turboshaft,Turboshaft,Turboshaft,0.71
turboshaft-string-concat-escape-analysis,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,1.00
turboshaft-trace-emitted,Turboshaft,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,0.14
turboshaft-trace-if-else-to-switch,Turboshaft,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,0.14
turboshaft-trace-intermediate-reductions,Turboshaft,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,0.14
turboshaft-trace-load-elimination,Turboshaft,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,0.14
turboshaft-trace-peeling,Turboshaft,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,0.14
turboshaft-trace-reduction,Turboshaft,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,0.14
turboshaft-trace-typing,Turboshaft,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,0.14
turboshaft-trace-unrolling,Turboshaft,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,0.14
turboshaft-typed-optimizations,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,1.00
turboshaft-verify-load-elimination,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Testing/Fuzzing,Turboshaft,Turboshaft,Turboshaft,0.71
turboshaft-verify-reductions,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Testing/Fuzzing,Turboshaft,Turboshaft,Turboshaft,0.71
turboshaft-wasm-in-js-inlining,Turboshaft,Wasm,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,0.71
turboshaft-wasm-load-elimination,Turboshaft,Wasm,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,0.71
typed-array-length-loading,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
unbox-double-arrays,Data,Data,Data,Data,Data,Optimization,Data,Data,0.71
unmap-holes,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
use-external-strings,Data,Data,Data,Data,Data,Data,Data,Data,1.00
use-ic,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
use-libm-trig-functions,Generic,Optimization,Optimization,Generic,Optimization,Data,Optimization,Optimization,0.29
use-marking-progress-bar,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
use-original-message-for-stack-trace,Trace/Debug,Generic,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.29
use-osr,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
use-std-math-pow,Generic,Optimization,Optimization,Generic,Data,Data,Optimization,Optimization,0.14
use-strict,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,1.00
v8-os-page-size,Generic,Generic,GC/Memory,Generic,Data,GC/Memory,GC/Memory,Generic,0.00
validate-asm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
verify-code-merge,Testing/Fuzzing,Compiler/Tier Manager,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Ignition,Testing/Fuzzing,0.57
verify-csa,Testing/Fuzzing,Turbofan,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Turbofan,Turbofan,Testing/Fuzzing,0.14
verify-get-js-builtin-state,Testing/Fuzzing,Trace/Debug,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Turbofan,Testing/Fuzzing,0.57
verify-heap,GC/Memory,GC/Memory,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,GC/Memory,GC/Memory,0.43
verify-heap-skip-remembered-set,GC/Memory,GC/Memory,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,GC/Memory,GC/Memory,0.43
verify-predictable,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
verify-simplified-lowering,Testing/Fuzzing,Turbofan,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Turbofan,Trace/Debug,Testing/Fuzzing,0.29
verify-snapshot-checksum,Testing/Fuzzing,Compiler/Tier Manager,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,GC/Memory,Generic,Testing/Fuzzing,0.43
verify-write-barriers,GC/Memory,GC/Memory,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,GC/Memory,GC/Memory,0.43
vtune-prof-annotate-wasm,Trace/Debug,Print,Wasm,Trace/Debug,Debug,Wasm,Generic,Trace/Debug,0.00
warn-about-builtin-profile-data,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,Testing/Fuzzing,Testing/Fuzzing,Turbofan,Compiler/Tier Manager,0.17
wasm-allow-mixed-eh-for-testing,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,Wasm,Wasm,0.43
wasm-assert-types,Wasm,Wasm,Wasm,Wasm,Testing/Fuzzing,Wasm,Wasm,Wasm,0.71
wasm-async-compilation,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-bounds-checks,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-bulkmem-inlining,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-caching-hard-threshold,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-caching-threshold,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-caching-timeout-ms,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-capi-thread-pool-size,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-code-coverage,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-code-gc,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-debug-mask-for-testing,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,Wasm,Wasm,0.43
wasm-deopt,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-deopts-per-function-limit,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-disassembly-max-mb,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-dynamic-tiering,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-eager-tier-up-function,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-enforce-bounds-checks,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-fast-api,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-fuzzer-gen-test,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,Testing/Fuzzing,Wasm,0.14
wasm-generic-wrapper,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-inlining,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-inlining-budget,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-inlining-call-indirect,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-inlining-factor,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-inlining-ignore-call-counts,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,Wasm,Wasm,0.43
wasm-inlining-max-size,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-inlining-min-budget,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-jitless,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-jitless-if-available-for-testing,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,Wasm,Wasm,0.43
wasm-lazy-compilation,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-lazy-validation,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-loop-peeling,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-loop-peeling-max-size,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-loop-unrolling,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-math-intrinsics,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-max-code-space-size-mb,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-max-committed-code-mb,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-max-initial-code-space-reservation,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-max-mem-pages,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-max-module-size,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-max-table-size,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-memory64-trap-handling,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-native-module-cache,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-num-compilation-tasks,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-opt,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-simd-ssse3-codegen,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-stack-checks,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-stack-switching-stack-size,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-staging,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-sync-tier-up,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-test-streaming,Wasm,Testing/Fuzzing,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,0.71
wasm-tier-mask-for-testing,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,Wasm,Wasm,0.43
wasm-tier-up,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-tier-up-filter,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-tiering-budget,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-trace-native,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
wasm-wrapper-tiering-budget,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
win64-unwinding-info,Trace/Debug,Print,Trace/Debug,Trace/Debug,Data,Trace/Debug,Generic,Trace/Debug,0.43
zero-unused-memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
zone-stats-tolerance,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Data,GC/Memory,Trace/Debug,GC/Memory,0.29
