flag,gemini-3-pro-preview-maxthinking-gcli.csv,glm-4.6.csv,gemini-2.5-pro-maxthinking-gcli.csv,kimi-k2-thinking.csv,doubao.csv,merged_comparison.csv,qwen3-max.csv,deepseek-reasoner.csv,same?,final_category
--experimental-wasm-exnref,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--experimental-wasm-fp16,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--experimental-wasm-growable-stacks,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--experimental-wasm-imported-strings-utf8,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--experimental-wasm-instruction-tracing,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--experimental-wasm-js-interop,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--experimental-wasm-legacy-eh,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--experimental-wasm-memory-control,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--experimental-wasm-pgo-from-file,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--experimental-wasm-pgo-to-file,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--experimental-wasm-rab-integration,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--experimental-wasm-ref-cast-nop,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,,Wasm,no,"Wasm, Testing/Fuzzing, Wasm, Wasm, Testing/Fuzzing, Wasm, , Wasm"
--experimental-wasm-revectorize,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--experimental-wasm-shared,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--experimental-wasm-skip-bounds-checks,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,,Wasm,no,"Wasm, Testing/Fuzzing, Wasm, Wasm, Testing/Fuzzing, Wasm, , Wasm"
--experimental-wasm-skip-null-checks,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,,Wasm,no,"Wasm, Testing/Fuzzing, Wasm, Wasm, Testing/Fuzzing, Wasm, , Wasm"
--experimental-wasm-stringref,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--experimental-wasm-type-reflection,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--experimental-wasm-wasmfx,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--expose-async-hooks,Generic,Print,Generic,Generic,Generic,Generic,,Generic,no,"Generic, Print, Generic, Generic, Generic, Generic, , Generic"
--expose-cputracemark-as,Trace/Debug,Print,Generic,Trace/Debug,Generic,Trace/Debug,,Generic,no,"Trace/Debug, Print, Generic, Trace/Debug, Generic, Trace/Debug, , Generic"
--expose-externalize-string,Testing/Fuzzing,Print,Generic,Testing/Fuzzing,Generic,Testing/Fuzzing,,Generic,no,"Testing/Fuzzing, Print, Generic, Testing/Fuzzing, Generic, Testing/Fuzzing, , Generic"
--expose-gc,Testing/Fuzzing,Print,Generic,Testing/Fuzzing,Generic,Testing/Fuzzing,,Generic,no,"Testing/Fuzzing, Print, Generic, Testing/Fuzzing, Generic, Testing/Fuzzing, , Generic"
--expose-gc-as,Testing/Fuzzing,Print,Generic,Testing/Fuzzing,Generic,Testing/Fuzzing,,Generic,no,"Testing/Fuzzing, Print, Generic, Testing/Fuzzing, Generic, Testing/Fuzzing, , Generic"
--expose-ignition-statistics,Ignition,Ignition,Ignition,Ignition,Generic,Ignition,,Generic,no,"Ignition, Ignition, Ignition, Ignition, Generic, Ignition, , Generic"
--expose-inspector-scripts,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--expose-memory-corruption-api,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--expose-statistics,Testing/Fuzzing,Print,Generic,Testing/Fuzzing,Generic,Testing/Fuzzing,,Generic,no,"Testing/Fuzzing, Print, Generic, Testing/Fuzzing, Generic, Testing/Fuzzing, , Generic"
--expose-trigger-failure,Testing/Fuzzing,Print,Generic,Testing/Fuzzing,Generic,Testing/Fuzzing,,Generic,no,"Testing/Fuzzing, Print, Generic, Testing/Fuzzing, Generic, Testing/Fuzzing, , Generic"
--extensible-ro-snapshot,Data,GC/Memory,GC/Memory,Data,Data,Data,,GC/Memory,no,"Data, GC/Memory, GC/Memory, Data, Data, Data, , GC/Memory"
--external-memory-accounted-in-global-limit,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--external-memory-max-growing-factor,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--external-reference-stats,Trace/Debug,Compiler/Tier Manager,Print,Trace/Debug,Print,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Compiler/Tier Manager, Print, Trace/Debug, Print, Trace/Debug, , Trace/Debug"
--fast-api-allow-float-in-sim,Turbofan,Turbofan,,Turbofan,Testing/Fuzzing,Turbofan,,Turbofan,no,"Turbofan, Turbofan, , Turbofan, Testing/Fuzzing, Turbofan, , Turbofan"
--fast-map-update,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--fast-properties-soft-limit,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--feedback-normalization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--fixed-array-bounds-checks,Generic,Optimization,Optimization,Generic,Optimization,Generic,,Turbofan,no,"Generic, Optimization, Optimization, Generic, Optimization, Generic, , Turbofan"
--flush-baseline-code,Sparkplug,Compiler/Tier Manager,GC/Memory,Sparkplug,Optimization,Sparkplug,,GC/Memory,no,"Sparkplug, Compiler/Tier Manager, GC/Memory, Sparkplug, Optimization, Sparkplug, , GC/Memory"
--flush-bytecode,Ignition,Compiler/Tier Manager,GC/Memory,Ignition,Optimization,Ignition,,GC/Memory,no,"Ignition, Compiler/Tier Manager, GC/Memory, Ignition, Optimization, Ignition, , GC/Memory"
--flush-code-based-on-tab-visibility,Compiler/Tier Manager,Compiler/Tier Manager,GC/Memory,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,,GC/Memory,no,"Compiler/Tier Manager, Compiler/Tier Manager, GC/Memory, Compiler/Tier Manager, Optimization, Compiler/Tier Manager, , GC/Memory"
--flush-code-based-on-time,Compiler/Tier Manager,Compiler/Tier Manager,GC/Memory,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,,GC/Memory,no,"Compiler/Tier Manager, Compiler/Tier Manager, GC/Memory, Compiler/Tier Manager, Optimization, Compiler/Tier Manager, , GC/Memory"
--flush-liftoff-code,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--for-of-optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--force-emit-interrupt-budget-checks,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--force-long-branches,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--force-memory-protection-keys,GC/Memory,Compiler/Tier Manager,GC/Memory,GC/Memory,Data,GC/Memory,,GC/Memory,no,"GC/Memory, Compiler/Tier Manager, GC/Memory, GC/Memory, Data, GC/Memory, , GC/Memory"
--force-slow-path,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Optimization,no,"Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, , Optimization"
--freeze-flags-after-init,Generic,Generic,Generic,Generic,Generic,Generic,,Generic,yes,Generic
--function-context-cells,Data,Optimization,Optimization,Data,Optimization,Data,,Optimization,no,"Data, Optimization, Optimization, Data, Optimization, Data, , Optimization"
--function-context-cells-max-size,Data,Optimization,Optimization,Data,Optimization,Data,,Optimization,no,"Data, Optimization, Optimization, Data, Optimization, Data, , Optimization"
--future,Generic,Language mode/features,Language mode/features,Generic,Language mode/features,Generic,,Language mode/features,no,"Generic, Language mode/features, Language mode/features, Generic, Language mode/features, Generic, , Language mode/features"
--fuzzer-gc-analysis,GC/Memory,Testing/Fuzzing,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,,Testing/Fuzzing,no,"GC/Memory, Testing/Fuzzing, Testing/Fuzzing, GC/Memory, Testing/Fuzzing, GC/Memory, , Testing/Fuzzing"
--fuzzer-random-seed,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Data,Testing/Fuzzing,,Data,no,"Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, Data, Testing/Fuzzing, , Data"
--fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--fuzzing-and-concurrent-recompilation,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--gc-experiment-less-compaction,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--gc-fake-mmap,Trace/Debug,Print,GC/Memory,Trace/Debug,Data,Trace/Debug,,Generic,no,"Trace/Debug, Print, GC/Memory, Trace/Debug, Data, Trace/Debug, , Generic"
--gc-global,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--gc-interval,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--gc-memory-reducer-start-delay-ms,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--gc-speed-uses-counters,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--gc-stats,GC/Memory,GC/Memory,GC/Memory,GC/Memory,Print,GC/Memory,,GC/Memory,no,"GC/Memory, GC/Memory, GC/Memory, GC/Memory, Print, GC/Memory, , GC/Memory"
--gc-verbose,GC/Memory,GC/Memory,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, GC/Memory, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--gdbjit,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--gdbjit-dump,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--gdbjit-dump-filter,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--gdbjit-full,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--handle-weak-ref-weakly-in-minor-gc,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--hard-abort,Trace/Debug,Generic,Trace/Debug,Trace/Debug,Generic,Trace/Debug,,Generic,no,"Trace/Debug, Generic, Trace/Debug, Trace/Debug, Generic, Trace/Debug, , Generic"
--harmony,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--harmony-import-attributes,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--harmony-intl-best-fit-matcher,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--harmony-remove-intl-locale-info-getters,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--harmony-shadow-realm,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--harmony-shipping,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--harmony-struct,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--harmony-temporal,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--hash-seed,Data,Generic,Generic,Data,Data,Data,,Data,no,"Data, Generic, Generic, Data, Data, Data, , Data"
--hashes-collide,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--heap-growing-percent,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--heap-profiler-show-hidden-objects,GC/Memory,Print,Trace/Debug,GC/Memory,Print,GC/Memory,,Trace/Debug,no,"GC/Memory, Print, Trace/Debug, GC/Memory, Print, GC/Memory, , Trace/Debug"
--heap-profiler-trace-objects,GC/Memory,Print,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, Print, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--heap-profiler-use-embedder-graph,GC/Memory,Generic,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, Generic, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--heap-snapshot-on-gc,GC/Memory,Print,GC/Memory,GC/Memory,Print,GC/Memory,,Trace/Debug,no,"GC/Memory, Print, GC/Memory, GC/Memory, Print, GC/Memory, , Trace/Debug"
--heap-snapshot-on-oom,GC/Memory,Print,GC/Memory,GC/Memory,Print,GC/Memory,,Trace/Debug,no,"GC/Memory, Print, GC/Memory, GC/Memory, Print, GC/Memory, , Trace/Debug"
--heap-snapshot-path,GC/Memory,Print,GC/Memory,GC/Memory,Data,GC/Memory,,Trace/Debug,no,"GC/Memory, Print, GC/Memory, GC/Memory, Data, GC/Memory, , Trace/Debug"
--heap-snapshot-string-limit,GC/Memory,Print,GC/Memory,GC/Memory,Print,GC/Memory,,Trace/Debug,no,"GC/Memory, Print, GC/Memory, GC/Memory, Print, GC/Memory, , Trace/Debug"
--heap-snapshot-verify,GC/Memory,Trace/Debug,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,,Trace/Debug,no,"GC/Memory, Trace/Debug, Testing/Fuzzing, GC/Memory, Testing/Fuzzing, GC/Memory, , Trace/Debug"
--help,Generic,Print,Generic,Generic,Generic,Generic,,Generic,no,"Generic, Print, Generic, Generic, Generic, Generic, , Generic"
--high-end-android,Generic,Generic,Generic,Generic,Generic,Generic,,GC/Memory,no,"Generic, Generic, Generic, Generic, Generic, Generic, , GC/Memory"
--high-end-android-physical-memory-threshold,Generic,Generic,Generic,Generic,Generic,Generic,,GC/Memory,no,"Generic, Generic, Generic, Generic, Generic, Generic, , GC/Memory"
--histogram-interval,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Data,Trace/Debug,,Generic,no,"Trace/Debug, GC/Memory, Trace/Debug, Trace/Debug, Data, Trace/Debug, , Generic"
--hole-fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--icu-british-remove-full-weekday-comma,Language mode/features,Language mode/features,Generic,Language mode/features,Data,Language mode/features,,Language mode/features,no,"Language mode/features, Language mode/features, Generic, Language mode/features, Data, Language mode/features, , Language mode/features"
--icu-datetime-compat-lang,Language mode/features,Language mode/features,Generic,Language mode/features,Data,Language mode/features,,Language mode/features,no,"Language mode/features, Language mode/features, Generic, Language mode/features, Data, Language mode/features, , Language mode/features"
--icu-default-italian-number-grouping-always,Language mode/features,Language mode/features,Generic,Language mode/features,Data,Language mode/features,,Language mode/features,no,"Language mode/features, Language mode/features, Generic, Language mode/features, Data, Language mode/features, , Language mode/features"
--icu-timezone-data,Language mode/features,Language mode/features,Generic,Language mode/features,Data,Language mode/features,,Language mode/features,no,"Language mode/features, Language mode/features, Generic, Language mode/features, Data, Language mode/features, , Language mode/features"
--idle-gc-on-context-disposal,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--ignition-elide-noneffectful-bytecodes,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,,Ignition,yes,Ignition
--ignition-elide-redundant-tdz-checks,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,,Ignition,yes,Ignition
--ignition-filter-expression-positions,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,,Ignition,yes,Ignition
--ignition-reo,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,,Ignition,yes,Ignition
--ignition-share-named-property-feedback,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,,Ignition,yes,Ignition
--incremental-marking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--incremental-marking-for-gc-in-background,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--incremental-marking-hard-trigger,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--incremental-marking-soft-trigger,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--incremental-marking-task,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--incremental-marking-unified-schedule,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--ineffective-gc-includes-global,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--ineffective-gc-mutator-utilization-threshold,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--ineffective-gc-size-threshold,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--ineffective-gcs-forces-last-resort,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--initial-heap-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--initial-old-space-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--initial-shared-heap-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--inline-date-accessors,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--inline-new,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--inspector-live-edit,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--intel-jcc-erratum-mitigation,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--internalize-on-the-fly,Data,Optimization,Optimization,Data,Optimization,Data,,Optimization,no,"Data, Optimization, Optimization, Data, Optimization, Data, , Optimization"
--interpreted-frames-native-stack,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--invocation-count-for-early-optimization,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--invocation-count-for-feedback-allocation,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--invocation-count-for-maglev,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
